card_number,card_name,type,cc,atk,acc,rarity,notes
98,Stop Device,support,21,--,--,1,source=StrategyWiki Cards; source_type=Item; power_effect=Stop Android; gs_code=010254CE
99,Life Preser.,support,8,--,100,2,source=StrategyWiki Cards; alias=Life Preserve; source_type=Item; power_effect=Life Recov.; gs_code=010255CE
100,Medical Mac.,support,8,--,100,1,source=StrategyWiki Cards; alias=Medical Machine; source_type=Item; power_effect=P.Down fails; gs_code=010256CE
101,Gravity Dev.,support,5,--,90,2,source=StrategyWiki Cards; alias=Gravity Device; source_type=Item; power_effect=Speed Down; gs_code=010257CE
102,Ene.Absorber,support,8,--,85,2,source=StrategyWiki Cards; alias=Energy Absorber; source_type=Item; power_effect=Life Absorb; gs_code=010258CE; cc corrected from in-game UI
103,Sealed Ball,support,4,--,80,1,source=StrategyWiki Cards; source_type=Item; power_effect=Atk.Pow. Down; gs_code=010259CE
104,Trunks Sword,support,4,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Strength Up; gs_code=01025aCE
105,Dabura Spear,support,4,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Strength Up; gs_code=01025bCE
106,Light Vest,support,6,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Speed Up; gs_code=01025cCE
107,Btl. Jacket,support,7,--,100,1,source=StrategyWiki Cards; alias=Battle Jacket; source_type=Item; power_effect=Guard Pow Up; gs_code=01025dCE
108,New-B Jacket,support,6,--,100,2,source=StrategyWiki Cards; alias=New Battle Jacket; source_type=Item; power_effect=Guard Pow Up; gs_code=01025eCE
109,Sunglasses,support,3,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Taiyo. fails; gs_code=01025fCE
110,Gamebomb,support,10,25,90,2,source=StrategyWiki Cards; source_type=Item; power_effect=25; gs_code=010260CE
111,Champ.Belt,support,12,--,100,3,source=StrategyWiki Cards; alias=Champion Belt; source_type=Item; power_effect=Damage fails; gs_code=010261CE
112,H's Choco.,support,12,30,80,2,source=StrategyWiki Cards; alias=H's Chocolate; source_type=Item; power_effect=30; gs_code=010262CE
113,Heart Virus,support,5,--,95,2,source=StrategyWiki Cards; source_type=Item; power_effect=Atk.Pow. Down; gs_code=010263CE
114,Heart Medi.,support,8,--,100,2,source=StrategyWiki Cards; alias=Heart Medicine; source_type=Item; power_effect=P.Down fails; gs_code=010264CE
115,Sandglass,support,5,--,100,2,source=StrategyWiki Cards; source_type=Item; power_effect=Cancel S.E.; gs_code=010265CE
116,Naughty Book,support,6,--,100,3,source=StrategyWiki Cards; source_type=Item; power_effect=???; gs_code=010266CE
117,Full Spirit,support,4,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Ki Up; gs_code=010267CE
118,Afterimage,support,4,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Avoid Lv.Up; gs_code=010268CE
119,Reading Ki,support,4,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Accuracy Up; gs_code=010269CE
120,Feint,support,4,--,100,1,source=StrategyWiki Cards; source_type=Item; power_effect=Accuracy Up; gs_code=01026aCE
121,Endurance,defense,7,--,--,2,source=StrategyWiki Cards; source_type=Avoid; power_effect=Guard; gs_code=01026bCE
122,Telepathy,defense,1,--,--,1,source=StrategyWiki Cards; source_type=Avoid; power_effect=Comm. fails; gs_code=01026cCE
123,Foresight,defense,1,--,--,1,source=StrategyWiki Cards; source_type=Avoid; power_effect=Comm. fails; gs_code=01026dCE
124,Shockwave,defense,5,--,--,1,source=StrategyWiki Cards; source_type=Avoid; power_effect=Avoid Damage; gs_code=01026eCE
125,Avoiding,defense,5,--,--,1,source=StrategyWiki Cards; source_type=Avoid; power_effect=Avoid Beam; gs_code=01026fCE
